Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
Anhui,China,31.8257,117.2264,1/22/20,1,0,0.0
Beijing,China,40.1824,116.4142,1/22/20,14,0,0.0
Chongqing,China,30.0572,107.874,1/22/20,6,0,0.0
Fujian,China,26.0789,117.9874,1/22/20,1,0,0.0
Gansu,China,37.8099,101.0583,1/22/20,0,0,28.0
Guangdong,China,23.3417,113.4244,1/22/20,26,0,0.0
Guangxi,China,23.8298,108.7881,1/22/20,2,0,0.0
Guizhou,China,26.8154,106.8748,1/22/20,1,0,0.0
Hainan,China,19.1959,109.7453,1/22/20,4,0,0.0
Hebei,China,39.549,116.1306,1/22/20,1,0,0.0
Heilongjiang,China,47.862,127.7615,1/22/20,0,0,0.0
Henan,China,33.882,113.614,1/22/20,5,0,0.0
Hong Kong,China,22.3,114.2,1/22/20,0,0,0.0
Hubei,China,30.9756,112.2707,1/22/20,444,17,0.0
Hunan,China,27.6104,111.7088,1/22/20,4,0,0.0
Inner Mongolia,China,44.0935,113.9448,1/22/20,0,0,0.0
Jiangsu,China,32.9711,119.455,1/22/20,1,0,0.0
Jiangxi,China,27.614,115.7221,1/22/20,2,0,0.0
Jilin,China,43.6661,126.1923,1/22/20,0,0,0.0
Liaoning,China,41.2956,122.6085,1/22/20,2,0,0.0
Macau,China,22.1667,113.55,1/22/20,1,0,0.0
Ningxia,China,37.2692,106.1655,1/22/20,1,0,0.0
Qinghai,China,35.7452,95.9956,1/22/20,0,0,0.0
Shaanxi,China,35.1917,108.8701,1/22/20,0,0,0.0
Shandong,China,36.3427,118.1498,1/22/20,2,0,0.0
Shanghai,China,31.202,121.4491,1/22/20,9,0,0.0
Shanxi,China,37.5777,112.2922,1/22/20,1,0,0.0
Sichuan,China,30.6171,102.7103,1/22/20,5,0,0.0
Tianjin,China,39.3054,117.323,1/22/20,4,0,0.0
Tibet,China,31.6927,88.0924,1/22/20,0,0,0.0
Xinjiang,China,41.1129,85.2401,1/22/20,0,0,0.0
Yunnan,China,24.974,101.487,1/22/20,1,0,0.0
